序号,性别,年龄,身高,体重,省份,成绩,月生活费,课程兴趣,案例教学
1,male,20.0,170,70.0,LiaoNing,,800.0,5,4
2,male,22.0,180,71.0,GuangXi,77.0,1300.0,3,4
3,male,,180,62.0,FuJian,57.0,1000.0,2,4
4,male,20.0,177,72.0,LiaoNing,79.0,900.0,4,4
5,male,20.0,172,,ShanDong,91.0,,5,5
6,male,20.0,179,75.0,YunNan,92.0,950.0,5,5
7,female,21.0,166,53.0,LiaoNing,80.0,1200.0,4,5
8,female,20.0,162,47.0,AnHui,78.0,1000.0,4,4
9,female,20.0,162,47.0,AnHui,78.0,1000.0,4,4
10,male,19.0,169,76.0,HeiLongJiang,88.0,1100.0,5,5
1,female,21.0,162,49.0,YunNan,89.0,800.0,5,5
2,female,20.0,164,53.0,GuiZhou,79.0,1000.0,4,5
3,female,20.0,166,43.0,HaiNan,12.0,1000.0,5,5
4,female,21.0,162,52.0,TianJin,86.0,500.0,5,5
5,male,20.0,175,73.0,AnHui,,700.0,4,4
6,male,19.0,172,20.0,ShanDong,75.0,900.0,5,5
7,male,21.0,178,79.0,GuiZhou,74.0,650.0,4,5
8,female,20.0,163,54.0,XinJiang,79.0,1400.0,4,5
9,female,21.0,160,44.0,ShangHai,61.0,600.0,5,5
10,female,19.0,163,48.0,GuiZhou,56.0,700.0,2,5
21,female,21.0,165,45.0,ShangHai,93.0,1200.0,5,5
22,female,19.0,167,42.0,HuBei,89.0,800.0,5,5
23,male,21.0,169,80.0,GanSu,93.0,900.0,5,5
24,female,21.0,160,49.0,HeBei,59.0,1100.0,3,5
25,female,21.0,162,54.0,GanSu,68.0,1300.0,4,5
26,male,21.0,181,77.0,SiChuan,62.0,800.0,2,5
27,female,21.0,162,49.0,ShanDong,65.0,950.0,4,4
28,female,22.0,160,52.0,ShanXi,73.0,800.0,3,4
29,female,20.0,161,51.0,GuangXi,80.0,1250.0,5,5
30,female,20.0,168,52.0,JiangSu,98.0,700.0,5,5
31,female,21.0,162,45.0,JiLin,92.0,1400.0,5,5
32,female,20.0,162,45.0,ChongQing,63.0,650.0,4,4
33,male,20.0,171,64.0,JiangXi,77.0,1300.0,4,5
34,male,21.0,172,78.0,BeiJing,62.0,950.0,4,4
35,male,20.0,171,66.0,ShangHai,97.0,650.0,5,5
36,male,21.0,174,78.0,GanSu,87.0,1300.0,5,5
37,male,21.0,177,68.0,XinJiang,95.0,500.0,5,5
38,male,19.0,170,79.0,YunNan,63.0,1000.0,3,5
39,female,19.0,159,46.0,ShanDong,64.0,1100.0,4,4
40,female,21.0,163,52.0,JiangXi,62.0,1500.0,3,4
41,male,19.0,174,63.0,HeiLongJiang,91.0,600.0,5,5
42,male,21.0,177,73.0,SiChuan,89.0,700.0,4,5
43,female,21.0,161,55.0,XiZang,93.0,1250.0,5,5
44,male,20.0,171,63.0,ChongQing,82.0,600.0,4,5
45,male,20.0,168,63.0,JiangXi,87.0,800.0,5,5
46,male,21.0,174,73.0,GuangDong,71.0,1300.0,5,5
47,female,21.0,163,53.0,ShanXi,73.0,600.0,4,5
48,male,21.0,175,74.0,GuangDong,64.0,700.0,3,4
49,male,21.0,172,79.0,ChongQing,81.0,1000.0,5,5
50,female,20.0,166,48.0,GuangXi,76.0,1100.0,4,4
