Date,Type,Area,Furnished,Latitude,Longitude,Rental
2021-09,3 room,67.0,yes,1.34451804267549,103.738630332612,1600
2022-05,4-room,92.0,yes,1.33018552011132,103.938716613648,2250
2022-10,3-room,67.0,yes,1.3322421486487,103.845643059432,1900
2022-11,3-room,68.0,yes,1.32050169556608,103.863341271367,2100
2021-01,5 room,110.0,yes,1.38899739157777,103.875147967354,2100
2022-06,3-room,67.0,yes,1.36604808445916,103.838122716883,2300
2021-10,4 room,84.0,yes,1.34427940850465,103.855555665099,2100
2021-04,5 room,112.0,yes,1.39283155421467,103.910620119955,2100
2021-03,4 room,104.0,yes,1.38216660471552,103.742248296899,1800
2022-02,5-room,123.0,yes,1.37679048572738,103.94074158245,2450
2021-07,4 room,84.0,yes,1.32011535001947,103.94657031077,2400
2022-02,3-room,60.0,yes,1.32869611162886,103.941995599533,2000
2023-04,4-room,93.0,yes,1.39061195455357,103.879963568325,3150
2021-08,4 room,112.0,yes,1.37920252711367,103.739438134005,2700
2022-12,4-room,91.0,yes,1.30240953060904,103.762804760851,4850
2023-01,5-room,113.0,yes,1.37054529360258,103.947594575271,4400
2022-01,3-room,69.0,yes,1.35587908699049,103.749799126312,1600
2022-01,5-room,110.0,yes,1.44798211047398,103.818506856223,2600
2022-11,3-room,81.0,yes,1.35085080574192,103.724437331849,2300
2022-10,3-room,73.0,yes,1.43150896364408,103.776361764527,2300
2023-07,3-room,60.0,yes,1.303787443937,103.800385265974,2750
2021-01,5 room,110.0,yes,1.39134850373845,103.888012432395,2100
2021-01,4 room,91.0,yes,1.33541318020516,103.700289313311,2150
2022-05,3-room,68.0,yes,1.30866602211237,103.760258216299,2100
2021-06,5 room,110.0,yes,1.33648967687037,103.700757438608,2500
2021-04,5 room,121.0,yes,1.44140171851717,103.803998172951,2000
2023-05,4-room,97.0,yes,1.36664972640598,103.850133665442,3000
2023-03,4-room,104.0,yes,1.37594758867048,103.936000878357,2100
2021-05,4 room,92.0,yes,1.42837595256793,103.834113498541,2300
2023-04,3-room,68.0,yes,1.43198319567796,103.830253382367,2000
2022-01,3-room,68.0,yes,1.38076896104696,103.842378423538,2100
2022-10,3-room,64.0,yes,1.33999732042821,103.772960761405,2850
2021-06,3 room,65.0,yes,1.30651257347314,103.915484799847,2300
2021-02,4 room,100.0,yes,1.28863365915922,103.809643901495,2250
2021-07,4 room,98.0,yes,1.44398788887815,103.772009513931,1600
2023-07,4-room,92.0,yes,1.39567244030632,103.890125430899,3700
2023-06,5-room,121.0,yes,1.33766746069838,103.724154795838,3700
2021-09,4 room,85.0,yes,1.39852428172223,103.903862659308,2400
2022-03,5-room,114.0,yes,1.39531209903572,103.915708237158,2100
2022-03,4-room,90.0,yes,1.38795018771966,103.895779285387,2600
2022-05,5-room,110.0,yes,1.3970326678583,103.897023030475,2500
2023-02,3-room,59.0,yes,1.32299431214867,103.904449779612,1700
2023-02,5-room,120.0,yes,1.3836966160096,103.772095630478,2950
2022-07,3-room,67.0,yes,1.3522029527063,103.880173191904,1700
2021-05,4 room,105.0,yes,1.34372024772129,103.689377054654,1600
2023-02,4-room,92.0,yes,1.37518254401411,103.900405982824,4000
2021-02,3 room,67.0,yes,1.33291837032644,103.856763112528,1700
2022-01,5-room,115.0,yes,1.38773170405615,103.900634316251,2200
2021-12,4 room,107.0,yes,1.35451273728621,103.963028626638,1800
2021-04,4 room,105.0,yes,1.41645129453248,103.836741138472,2500
2021-03,4 room,90.0,yes,1.45199817874292,103.819475589257,1750
2021-07,4 room,90.0,yes,1.34094640873732,103.699525431571,1600
2021-01,4 room,90.0,yes,1.37668464228405,103.736817870853,2000
2023-05,5-room,110.0,yes,1.34156676422639,103.697970356424,4200
2021-07,3 room,73.0,yes,1.32283703302242,103.939124525951,2200
2021-05,3 room,65.0,yes,1.34205287411841,103.84939599719,1900
2022-10,3-room,67.0,yes,1.33455570085904,103.857191175608,2000
2022-06,4-room,93.0,yes,1.42036919149233,103.844403667721,2600
2021-12,4 room,92.0,yes,1.32968232972727,103.885407998763,2100
2022-05,4-room,91.0,yes,1.3210599628039,103.762434749863,2750
2021-10,4 room,92.0,yes,1.27558342805007,103.810314018607,2850
2021-05,3 room,73.0,yes,1.36799988809778,103.851873942231,2100
2021-08,4 room,84.0,yes,1.33159005591995,103.851295104405,2300
2021-06,3 room,67.0,yes,1.37893083811935,103.900988286293,2050
2022-12,4-room,90.0,yes,1.44216549395902,103.808040672708,3800
2022-11,3-room,67.0,yes,1.31935026360524,103.943632360195,3000
2022-10,4-room,100.0,yes,1.35698450686671,103.935334502197,3150
2021-02,3 room,64.0,yes,1.35782898281099,103.945792875974,1850
2022-04,5-room,120.0,yes,1.37612888392923,103.882894860894,2500
2021-05,3 room,73.0,yes,1.36912241721255,103.851616057064,2200
2023-05,5-room,111.0,yes,1.42861439008497,103.794717960696,3450
2023-01,4-room,91.0,yes,1.28654599608856,103.83082447985,3250
2021-06,5 room,125.0,yes,1.29464286416414,103.808263951097,3250
2022-12,4-room,99.0,yes,1.35938987364854,103.936632842041,2400
2022-12,3-room,73.0,yes,1.2717673800708,103.82662196779,2400
2022-10,2-room,47.0,yes,1.43850605916385,103.804250612304,2750
